Date,VVAR3.SA
2008-06-04,5.776402324281696
2008-06-05,5.4795911376585265
2008-06-06,5.659961012606453
2008-06-09,5.63712938286621
2008-06-10,5.6850758053207215
2008-06-11,5.705624272086939
2008-06-12,5.707907435060966
2008-06-16,5.6850758053207215
2008-06-17,5.705624272086939
2008-06-18,5.6394125458402335
2008-06-20,5.5937492863597456
2008-06-24,5.296938099736575
2008-06-25,5.091453432074382
2008-06-26,5.091453432074382
2008-06-27,5.000126913113406
2008-06-30,4.714731541360357
2008-07-01,4.680484096749991
2008-07-02,4.66906828187987
2008-07-03,4.632537674295477
2008-07-04,4.566325948048773
2008-07-07,4.566325948048773
2008-07-08,4.566325948048773
2008-07-14,4.538927992360479
2008-07-15,4.538927992360479
2008-07-17,4.406504539867066
2008-07-18,4.516096362620235
